date,value
1/3/2016,802
1/4/2016,875
1/5/2016,936
1/5/2016,741
1/6/2016,725
1/7/2016,299
1/9/2016,585
1/10/2016,714
1/13/2016,7
1/13/2016,258
1/14/2016,252
1/17/2016,375
1/18/2016,93
1/20/2016,51
1/22/2016,172
1/22/2016,271
1/25/2016,652
1/30/2016,314
1/31/2016,801
1/31/2016,433
2/2/2016,431
2/7/2016,990
2/8/2016,663
2/8/2016,457
2/9/2016,526
2/11/2016,353
2/12/2016,826
2/12/2016,500
2/17/2016,175
2/18/2016,160
2/19/2016,655
2/19/2016,964
2/20/2016,421
2/20/2016,792
2/22/2016,713
2/24/2016,995
2/26/2016,544
2/27/2016,887
2/29/2016,224
3/1/2016,744
3/2/2016,167
3/3/2016,148
3/7/2016,23
3/9/2016,835
3/15/2016,122
3/15/2016,111
3/16/2016,74
3/17/2016,514
3/19/2016,937
3/21/2016,32
3/23/2016,210
3/24/2016,825
3/24/2016,650
3/25/2016,44
3/25/2016,918
3/26/2016,987
3/27/2016,635
3/27/2016,354
3/28/2016,102
3/30/2016,919
3/31/2016,444
4/1/2016,166
4/3/2016,557
4/4/2016,109
4/5/2016,683
4/6/2016,926
4/8/2016,86
4/10/2016,688
4/11/2016,480
4/11/2016,938
4/15/2016,571
4/16/2016,756
4/16/2016,524
4/17/2016,948
4/17/2016,514
4/18/2016,22
4/18/2016,12
4/19/2016,563
4/22/2016,971
4/23/2016,79
4/23/2016,271
4/25/2016,656
4/25/2016,187
4/26/2016,421
4/27/2016,634
5/2/2016,917
5/4/2016,580
5/4/2016,959
5/9/2016,686
5/11/2016,307
5/14/2016,861
5/15/2016,524
5/15/2016,979
5/18/2016,611
5/18/2016,252
5/19/2016,398
5/27/2016,357
5/28/2016,836
5/30/2016,540
5/30/2016,510
6/3/2016,851
6/8/2016,207
6/11/2016,807
6/11/2016,179
6/12/2016,863
6/12/2016,478
6/15/2016,760
6/15/2016,396
6/17/2016,133
6/18/2016,943
6/19/2016,552
6/21/2016,984
6/21/2016,279
6/22/2016,327
6/23/2016,149
6/24/2016,52
6/29/2016,228
6/30/2016,732
6/30/2016,530
7/3/2016,828
7/4/2016,970
7/6/2016,157
7/8/2016,363
7/9/2016,600
7/13/2016,525
7/15/2016,576
7/15/2016,708
7/19/2016,652
7/21/2016,171
7/22/2016,924
7/24/2016,720
7/26/2016,946
7/30/2016,463
8/3/2016,13
8/5/2016,732
8/6/2016,422
8/6/2016,264
8/7/2016,679
8/9/2016,521
8/10/2016,924
8/12/2016,893
8/14/2016,39
8/16/2016,50
8/19/2016,339
8/19/2016,7
8/19/2016,422
8/24/2016,65
8/25/2016,277
8/26/2016,709
8/28/2016,497
9/4/2016,910
9/6/2016,113
9/8/2016,412
9/12/2016,564
9/17/2016,518
9/25/2016,157
9/30/2016,114
10/1/2016,219
10/7/2016,304
10/8/2016,550
10/13/2016,594
10/18/2016,848
10/19/2016,179
10/19/2016,716
10/19/2016,746
10/22/2016,913
10/24/2016,284
10/25/2016,195
10/27/2016,738
10/28/2016,568
10/30/2016,181
10/30/2016,133
11/1/2016,681
11/9/2016,931
11/13/2016,562
11/13/2016,794
11/14/2016,663
11/14/2016,195
11/18/2016,150
11/18/2016,558
11/19/2016,198
11/19/2016,865
11/20/2016,513
11/21/2016,775
11/25/2016,143
11/25/2016,145
11/27/2016,132
11/29/2016,338
12/3/2016,933
12/4/2016,112
12/8/2016,260
12/8/2016,848
12/11/2016,646
12/12/2016,96
12/13/2016,589
12/14/2016,178
12/15/2016,723
12/17/2016,443
12/18/2016,432
12/22/2016,167
12/23/2016,198
12/25/2016,672
12/29/2016,215
12/31/2016,951
,
,
,
,
,
,
,
,
,
,
